Jesse,Weiner,Classical Epic and the Poetics of Modern Fantasy,Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,25,46,,,,,2017,TRUE
Jesse,Weiner,Classical Epic and the Poetics of Modern Fantasy,Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,25,46,,,,,2017,TRUE
Cecilie,Flugt,"Theorizing Fantasy: Enchantment, Parody, and the Classical Tradition",Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,47,62,,,,,2017,TRUE
Cecilie,Flugt,"Theorizing Fantasy: Enchantment, Parody, and the Classical Tradition",Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,47,62,,,,,2017,TRUE
Genevieve S.,Gessert,The Mirror Crack’d: Fractured Classicisms in the Pre-Raphaelites and Victorian Illustration,Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,63,91,,,,,2017,TRUE
Genevieve S.,Gessert,The Mirror Crack’d: Fractured Classicisms in the Pre-Raphaelites and Victorian Illustration,Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,63,91,,,,,2017,TRUE
Robinson Peter,Kramer,Classical Antiquity and the Timeless Horrors of H. P. Lovecraf,Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,92,117,,,,,2017,TRUE
Robinson Peter,Kramer,Classical Antiquity and the Timeless Horrors of H. P. Lovecraf,Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,92,117,,,,,2017,TRUE
Benjamin Eldon,Stevens,Ancient Underworlds in J. R. R. Tolkien’s The Hobbit,Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,121,144,,,,,2017,TRUE
Benjamin Eldon,Stevens,Ancient Underworlds in J. R. R. Tolkien’s The Hobbit,Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,121,144,,,,,2017,TRUE
Jeffrey T.,Winkle,C. S. Lewis’s The Voyage of the “Dawn Treader” and Apuleius’ Metamorphoses,Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,145,159,,,,,2017,TRUE
Jeffrey T.,Winkle,C. S. Lewis’s The Voyage of the “Dawn Treader” and Apuleius’ Metamorphoses,Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,145,159,,,,,2017,TRUE
Marcus,Folch,A Time for Fantasy: Retelling Apuleius in C. S. Lewis’s Till We Have Faces,Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,160,185,,,,,2017,TRUE
Marcus,Folch,A Time for Fantasy: Retelling Apuleius in C. S. Lewis’s Till We Have Faces,Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,160,185,,,,,2017,TRUE
Sarah Annes,Brown,The Classical Pantheon in Children’s Fantasy Literature,Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,189,208,,,,,2017,TRUE
Sarah Annes,Brown,The Classical Pantheon in Children’s Fantasy Literature,Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,189,208,,,,,2017,TRUE
Brett M.,Rogers,Orestes and the Half-Blood Prince: Ghosts of Aeschylus in the Harry Potter Series,Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,209,232,,,,,2017,TRUE
